,Title,views,Thumbnail
50,Why 5/3 is a fundamental constant for turbulence,623K views,
51,"Quaternions and 3d rotation, explained interactively",820K views,
52,Visualizing quaternions (4d numbers) with stereographic projection,3.3M views,https://i.ytimg.com/vi/d4EgbgTm0Bg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBddX9kUbejIeE9tpW59x09cLS0ew
53,Q&A with Grant Sanderson (3blue1brown),763K views,https://i.ytimg.com/vi/Qe6o9j4IjTo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBfQpjURebAR60CqY7l8mTByjUc6g
54,Why slicing a cone gives an ellipse,1.3M views,https://i.ytimg.com/vi/pQa_tWZmlGs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBEVaobcIRZAAYFiRRdgeXxoTI6SQ
55,Other math channels you'd enjoy,206K views,https://i.ytimg.com/vi/VcgJro0sTiM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAdUKr1TE4UwbQ8petcyTv0p2HDZg
56,"Divergence and curl: The language of Maxwell's equations, fluid flow, and more",3M views,https://i.ytimg.com/vi/rB83DpBJQsE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCkCF3FNk9jDl8-Nz_2ND4-TXmHuQ
57,"The other way to visualize derivatives | Chapter 12, Essence of calculus",3.2M views,https://i.ytimg.com/vi/CfW845LNObM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBF_dp6tAHb6uxNIUvmT_-qmXXreQ
58,"The Wallis product for pi, proved geometrically",655K views,https://i.ytimg.com/vi/8GPy_UMV-08/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjY-hPoOZsm7_6ztbgi1tmqRExxA
59,Winding numbers and domain coloring,849K views,https://i.ytimg.com/vi/b7FxPsqfkOY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCxZNJjwOAWVOrIBKztK07SGzMkaA
60,How pi was almost 6.283185...,1.2M views,https://i.ytimg.com/vi/bcPTiiiYDs8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB0lN5XYOcdTv8QfTPjwiBm1Duv_A
61,Why is pi here? And why is it squared? A geometric answer to the Basel problem,4.3M views,https://i.ytimg.com/vi/d-o3eB9sfls/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCLq7YqbZfdkp7cGP3NG9B_4e0cSg
62,"The more general uncertainty principle, regarding Fourier transforms",1.6M views,https://i.ytimg.com/vi/MBnnXbOM5S4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBm3kYmVoVMhrg9tLGoy-7GmmCSNg
63,But what is the Fourier Transform? A visual introduction.,7.7M views,https://i.ytimg.com/vi/spUNpyF58BY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAV7TBVafnzr4YjqpUFsazhAbdivg
